shop,title,price,old_price,discount,date_start,date_end,additional_info,img
rimi,"ROKIŠKIO sūris, 45 %, 240g",2.19,2.85,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_277654_PCE_LT"
rimi,"Greipfrutai POMELO, 1 kl., 1 kg",0.49,1.19,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_211258_KGM_LT"
rimi,"Tualetinis popierius RIMI, 8 ritinėl.",1.44,2.89,-50%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815657_PCE_LT"
rimi,"Šaldytos vyšnios be kauliukų RIMI, 400 g",2.39,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811669_PCE_LT"
rimi,"Rauginti agurkai, 600 g",1.85,2.65,-30%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_917315_PCE_LT"
rimi,"Virtos pien. dešrelės KAI NORISI MĖSOS,280g",2.03,3.39,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_294374_PCE_LT"
rimi,"Ekolog. virti burokėliai JOVAIGĖ, 500 g",0.90,1.29,-30%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_915170_PCE_LT"
rimi,"Virta SAMSONO DAKTARIŠKA dešra, a.r., 330g",2.44,3.49,-30%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_263076_PCE_LT"
rimi,"Tualetinis popierius RIMI, 16 ritinėl.",2.84,5.69,-50%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815649_PCE_LT"
rimi,"Pienas be laktozės MŪ, UAT, 2,5 % rieb., 1 l",1.99,2.29,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_249008_PCE_LT"
rimi,"Meksikietiškos tortilijos TEX MEX, 371g",2.49,3.59,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_140580_PCE_LT"
rimi,Kosmet.servet. ZEWA SOFTIS 4sl.80vnt,1.44,2.89,-50%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_779782_PCE_LT"
rimi,"Mini tortilijos SANTA MARIA ORIGINAL, 200g",1.69,2.49,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_192776_PCE_LT"
rimi,"Vytinta BERNŲ dešra BIOVELA, a.r., 90g",2.29,3.29,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_257350_PCE_LT"
